keyword,job_area,count
运维工程师,深圳,1782
运维工程师,杭州,3264
运维工程师,北京,2817
运维工程师,成都,4123
运维工程师,上海,2476
运维工程师,广州,2951
软件测试,成都,4218
软件测试,深圳,2541
软件测试,杭州,4093
软件测试,广州,3899
软件测试,北京,2780
软件测试,上海,2028
语音视频图形开发,杭州,1199
语音视频图形开发,北京,1197
语音视频图形开发,广州,862
语音视频图形开发,深圳,1199
语音视频图形开发,上海,1199
语音视频图形开发,成都,1019
自然语言处理,杭州,3483
自然语言处理,广州,3061
自然语言处理,北京,2548
自然语言处理,深圳,2564
自然语言处理,成都,3042
自然语言处理,上海,2771
自动化测试,深圳,300
自动化测试,北京,389
自动化测试,上海,390
自动化测试,杭州,689
自动化测试,广州,448
网页产品设计,杭州,584
网页产品设计,北京,566
网页产品设计,上海,1098
网页产品设计,广州,117
网页产品设计,深圳,782
网页产品设计,成都,430
网络安全,成都,3775
网络安全,广州,3225
网络安全,杭州,3691
网络安全,北京,2411
网络安全,深圳,2549
网络安全,上海,2301
算法工程师,成都,3681
算法工程师,广州,2776
算法工程师,北京,1654
算法工程师,杭州,2717
算法工程师,上海,1838
算法工程师,深圳,1953
移动产品设计,深圳,2204
移动产品设计,成都,799
移动产品设计,广州,1262
移动产品设计,北京,2469
移动产品设计,杭州,1222
移动产品设计,上海,1924
硬件测试,广州,3339
硬件测试,北京,4872
硬件测试,上海,3118
硬件测试,杭州,3775
硬件测试,深圳,2340
硬件测试,成都,2594
爬虫,上海,2487
爬虫,杭州,1334
爬虫,北京,2990
爬虫,深圳,1775
爬虫,广州,1348
爬虫,成都,595
游戏策划,成都,2384
游戏策划,杭州,3479
游戏策划,上海,4132
游戏策划,广州,3900
游戏策划,深圳,3233
游戏策划,北京,3407
游戏特效,广州,1358
游戏特效,北京,1497
游戏特效,杭州,663
游戏特效,成都,1078
游戏特效,上海,1688
游戏特效,深圳,903
游戏测试,成都,330
游戏测试,杭州,510
游戏测试,北京,450
游戏测试,广州,240
游戏测试,上海,150
游戏场景,成都,2951
游戏场景,杭州,1472
游戏场景,广州,2145
游戏场景,上海,3208
游戏场景,北京,2843
游戏场景,深圳,2129
深度学习,深圳,2544
深度学习,北京,1630
深度学习,上海,1904
深度学习,杭州,2517
深度学习,成都,4260
深度学习,广州,3753
测试开发,成都,540
测试开发,深圳,899
测试开发,上海,120
测试开发,北京,450
测试开发,广州,210
测试开发,杭州,659
测试工程师,上海,810
测试工程师,北京,510
测试工程师,深圳,180
测试工程师,广州,329
测试工程师,杭州,240
测试工程师,成都,360
机器学习,深圳,2226
机器学习,北京,1834
机器学习,广州,3078
机器学习,杭州,2626
机器学习,上海,1914
机器学习,成都,3538
数据采集,成都,420
数据采集,杭州,509
数据采集,广州,600
数据采集,深圳,660
数据采集,北京,480
数据采集,上海,240
数据架构师,杭州,1761
数据架构师,上海,2337
数据架构师,北京,1954
数据架构师,深圳,1862
数据架构师,成都,1191
数据架构师,广州,1322
数据挖掘,上海,2402
数据挖掘,广州,4150
数据挖掘,杭州,2597
数据挖掘,北京,2738
数据挖掘,深圳,2769
数据挖掘,成都,2982
数据开发,杭州,390
数据开发,广州,300
数据开发,北京,240
数据开发,上海,480
数据开发,成都,600
数据分析师,广州,2945
数据分析师,深圳,3158
数据分析师,上海,2143
数据分析师,杭州,3561
数据分析师,北京,2319
