keyword,degree,count
运维工程师,大专,4880
运维工程师,本科,8012
运维工程师,硕士,357
运维工程师,中专/中技,260
运维工程师,学历不限,983
运维工程师,统招本科,3168
软件测试,大专,2569
软件测试,统招本科,4343
软件测试,硕士,818
软件测试,学历不限,620
软件测试,本科,11395
语音视频图形开发,本科,4103
语音视频图形开发,学历不限,386
语音视频图形开发,硕士,446
语音视频图形开发,大专,1634
自然语言处理,大专,668
自然语言处理,硕士,5803
自然语言处理,博士,983
自然语言处理,本科,6479
自然语言处理,统招本科,3225
自然语言处理,学历不限,557
自动化测试,大专,378
自动化测试,本科,1678
网页产品设计,硕士,137
网页产品设计,大专,1036
网页产品设计,本科,2273
网页产品设计,学历不限,223
网络安全,博士,185
网络安全,学历不限,814
网络安全,大专,4380
网络安全,统招本科,3249
网络安全,本科,8558
网络安全,硕士,977
算法工程师,大专,345
算法工程师,硕士,6083
算法工程师,学历不限,515
算法工程师,本科,5059
算法工程师,博士,549
算法工程师,统招本科,2355
移动产品设计,大专,1680
移动产品设计,硕士,142
移动产品设计,学历不限,531
移动产品设计,本科,5757
移动产品设计,统招本科,1989
硬件测试,学历不限,731
硬件测试,统招本科,3897
硬件测试,中专/中技,142
硬件测试,大专,3671
硬件测试,硕士,939
硬件测试,本科,10884
爬虫,大专,1828
爬虫,学历不限,776
爬虫,统招本科,2307
爬虫,本科,5555
爬虫,硕士,323
游戏策划,硕士,135
游戏策划,统招本科,3419
游戏策划,大专,4858
游戏策划,学历不限,2307
游戏策划,本科,10058
游戏特效,统招本科,324
游戏特效,大专,3518
游戏特效,学历不限,2541
游戏特效,本科,1078
游戏测试,大专,353
游戏测试,本科,1225
游戏场景,统招本科,868
游戏场景,硕士,137
游戏场景,学历不限,4634
游戏场景,中专/中技,142
游戏场景,本科,3467
游戏场景,大专,5779
深度学习,硕士,6007
深度学习,本科,5778
深度学习,博士,996
深度学习,大专,858
深度学习,学历不限,623
深度学习,统招本科,2589
测试开发,大专,433
测试开发,本科,2170
测试开发,硕士,198
测试工程师,大专,355
测试工程师,本科,1910
测试工程师,硕士,113
机器学习,大专,600
机器学习,硕士,4616
机器学习,本科,5845
机器学习,学历不限,591
机器学习,博士,858
机器学习,统招本科,2963
数据采集,本科,2070
数据采集,硕士,297
数据采集,学历不限,101
数据采集,大专,391
数据架构师,大专,759
数据架构师,本科,6161
数据架构师,统招本科,2187
数据架构师,硕士,984
数据架构师,学历不限,513
数据挖掘,学历不限,754
数据挖掘,大专,1626
数据挖掘,硕士,2955
数据挖掘,博士,513
数据挖掘,本科,8730
数据挖掘,统招本科,3334
数据开发,本科,1651
数据开发,大专,197
数据开发,硕士,165
数据分析师,大专,1463
数据分析师,硕士,1378
数据分析师,统招本科,4337
数据分析师,本科,9168
数据分析师,学历不限,714
数据仓库,硕士,224
数据仓库,本科,2676
数据仓库,大专,407
技术美术,本科,373
技术美术,大专,160
性能测试,中专/中技,101
性能测试,硕士,1649
性能测试,大专,1940
性能测试,学历不限,621
性能测试,统招本科,3616
性能测试,博士,213
性能测试,本科,7420
大模型算法,本科,1018
大模型算法,硕士,817
后端开发,大专,1851
后端开发,硕士,553
后端开发,统招本科,3859
后端开发,本科,7922
后端开发,学历不限,742
区块链工程师,硕士,496
区块链工程师,大专,1502
区块链工程师,学历不限,268
区块链工程师,本科,4233
功能测试,本科,1823
功能测试,硕士,190
功能测试,大专,416
前端开发工程师,学历不限,214
前端开发工程师,大专,1079
前端开发工程师,本科,5121
前端开发工程师,硕士,300
前端开发,大专,1965
前端开发,统招本科,2968
前端开发,学历不限,818
前端开发,硕士,361
前端开发,本科,7179
全栈开发,学历不限,444
全栈开发,硕士,557
全栈开发,大专,1068
全栈开发,统招本科,2388
全栈开发,本科,5238
全栈工程师,大专,1053
全栈工程师,学历不限,230
全栈工程师,硕士,429
全栈工程师,本科,5006
iOS,学历不限,200
iOS,本科,3554
iOS,大专,840
UI设计,学历不限,1363
UI设计,统招本科,2650
UI设计,本科,6821
UI设计,硕士,312
UI设计,大专,3006
UE4,统招本科,1760
UE4,大专,5536
UE4,硕士,268
UE4,本科,6925
UE4,学历不限,3337
U3D,统招本科,2597
U3D,硕士,425
U3D,大专,5877
U3D,本科,7820
U3D,学历不限,2878
Python,大专,1413
Python,学历不限,651
Python,统招本科,2768
Python,博士,248
Python,硕士,1909
Python,本科,9784
PHP,硕士,389
PHP,学历不限,1312
PHP,统招本科,3918
PHP,本科,10539
PHP,大专,4151
Node.js,大专,3399
Node.js,统招本科,4082
Node.js,学历不限,1235
Node.js,本科,13658
Node.js,硕士,513
Linux,本科,6337
Linux,硕士,839
Linux,学历不限,498
Linux,统招本科,2600
Linux,大专,1343
Linux,博士,101
JavaScript,本科,476
Java,博士,131
Java,大专,2462
Java,硕士,636
Java,本科,11080
Java,统招本科,2513
Java,学历不限,657
Hadoop,本科,12377
Hadoop,硕士,1654
Hadoop,大专,1330
Hadoop,统招本科,3899
Hadoop,学历不限,774
Hadoop,博士,105
Golang,硕士,888
Golang,博士,119
Golang,大专,1939
Golang,学历不限,997
Golang,统招本科,4692
Golang,本科,13773
GIS工程师,硕士,555
GIS工程师,大专,1595
GIS工程师,学历不限,212
GIS工程师,本科,4345
ETL工程师,本科,1432
ETL工程师,大专,235
Docker,统招本科,4175
Docker,学历不限,706
Docker,本科,9454
Docker,硕士,782
Docker,大专,1949
Cocos,大专,1075
Cocos,本科,2052
Cocos,学历不限,417
C++,本科,10323
C++,大专,1448
C++,硕士,1780
C++,博士,162
C++,统招本科,2829
C++,学历不限,581
C#,统招本科,2957
C#,本科,10764
C#,博士,123
C#,学历不限,963
C#,硕士,970
C#,大专,3885
Android,本科,3220
Android,大专,763
Android,学历不限,179
.NET,学历不限,980
.NET,统招本科,2981
.NET,本科,10309
.NET,大专,4222
.NET,硕士,876
.NET,博士,116
