keyword,experience,count
.NET,经验不限,3783
.NET,在校/应届,158
.NET,5-10年,5551
.NET,3-5年,3974
.NET,1年以下,277
.NET,1-3年,5763
Android,在校/应届,757
Android,5-10年,1307
Android,3-5年,1050
Android,1-3年,1140
C#,经验不限,3676
C#,在校/应届,396
C#,5-10年,5720
C#,3-5年,3943
C#,1年以下,268
C#,1-3年,5683
C++,经验不限,2650
C++,在校/应届,1532
C++,5-10年,4201
C++,3-5年,4208
C++,1年以下,134
C++,1-3年,4397
Cocos,在校/应届,112
Cocos,5-10年,630
Cocos,3-5年,1477
Cocos,1-3年,1385
Docker,经验不限,2804
Docker,在校/应届,189
Docker,5-10年,4070
Docker,3-5年,3921
Docker,1年以下,195
Docker,1-3年,5936
ETL工程师,在校/应届,327
ETL工程师,5-10年,420
ETL工程师,3-5年,510
ETL工程师,1-3年,570
GIS工程师,在校/应届,1792
GIS工程师,5-10年,1800
GIS工程师,3-5年,1500
GIS工程师,1-3年,1799
Golang,经验不限,2387
Golang,在校/应届,1120
Golang,5-10年,5847
Golang,3-5年,6141
Golang,1年以下,134
Golang,1-3年,6792
Hadoop,经验不限,2088
Hadoop,在校/应届,432
Hadoop,5-10年,5532
Hadoop,3-5年,5417
Hadoop,1年以下,102
Hadoop,1-3年,6570
Java,经验不限,2933
Java,在校/应届,1600
Java,5-10年,4159
Java,3-5年,4218
Java,1年以下,214
Java,1-3年,4346
JavaScript,在校/应届,191
JavaScript,5-10年,120
JavaScript,3-5年,240
Linux,经验不限,2966
Linux,在校/应届,405
Linux,5-10年,2610
Linux,3-5年,2469
Linux,1年以下,180
Linux,1-3年,3098
Node.js,经验不限,2006
Node.js,在校/应届,1176
Node.js,5-10年,6762
Node.js,3-5年,5470
Node.js,1-3年,7406
PHP,经验不限,2271
PHP,在校/应届,339
PHP,5-10年,5565
PHP,3-5年,5769
PHP,1年以下,164
PHP,1-3年,6270
Python,经验不限,2382
Python,在校/应届,1640
Python,5-10年,4198
Python,3-5年,4214
Python,1年以下,131
Python,1-3年,4210
U3D,经验不限,2137
U3D,5-10年,5083
U3D,3-5年,5566
U3D,1年以下,184
U3D,1-3年,6710
UE4,经验不限,1369
UE4,在校/应届,181
UE4,5-10年,3843
UE4,3-5年,6533
UE4,1年以下,105
UE4,1-3年,5883
UI设计,经验不限,3316
UI设计,5-10年,4115
UI设计,3-5年,2694
UI设计,1年以下,200
UI设计,1-3年,3939
iOS,在校/应届,919
iOS,5-10年,1080
iOS,3-5年,1229
iOS,1-3年,1470
全栈工程师,在校/应届,1788
全栈工程师,5-10年,1620
全栈工程师,3-5年,1800
全栈工程师,1-3年,1560
全栈开发,经验不限,753
全栈开发,5-10年,3105
全栈开发,3-5年,3859
全栈开发,1-3年,1947
前端开发,经验不限,4258
前端开发,5-10年,3333
前端开发,3-5年,2412
前端开发,1年以下,283
前端开发,1-3年,3038
前端开发工程师,在校/应届,1793
前端开发工程师,5-10年,1679
前端开发工程师,3-5年,1469
前端开发工程师,1-3年,1800
功能测试,在校/应届,1009
功能测试,5-10年,240
功能测试,3-5年,598
功能测试,1-3年,660
区块链工程师,在校/应届,1789
区块链工程师,5-10年,1560
区块链工程师,3-5年,1528
区块链工程师,1-3年,1800
后端开发,经验不限,3447
后端开发,5-10年,3993
后端开发,3-5年,2293
后端开发,1年以下,212
后端开发,1-3年,5010
大模型算法,在校/应届,477
大模型算法,5-10年,299
大模型算法,3-5年,959
大模型算法,1-3年,270
性能测试,经验不限,3794
性能测试,5-10年,4264
性能测试,3-5年,2827
性能测试,1年以下,227
性能测试,1-3年,4446
技术美术,5-10年,300
技术美术,3-5年,210
技术美术,1-3年,180
数据仓库,在校/应届,673
数据仓库,5-10年,990
数据仓库,3-5年,779
数据仓库,1-3年,990
数据分析师,经验不限,2548
数据分析师,在校/应届,1034
数据分析师,5-10年,4597
数据分析师,3-5年,3660
数据分析师,1年以下,333
数据分析师,1-3年,4962
数据开发,在校/应届,446
数据开发,5-10年,240
数据开发,3-5年,480
数据开发,1-3年,900
数据挖掘,经验不限,2889
数据挖掘,在校/应届,891
数据挖掘,5-10年,4221
数据挖掘,3-5年,3959
数据挖掘,1年以下,268
数据挖掘,1-3年,5720
数据架构师,经验不限,272
数据架构师,在校/应届,742
数据架构师,5-10年,5276
数据架构师,3-5年,3010
数据架构师,1-3年,1364
数据采集,在校/应届,1203
数据采集,5-10年,780
数据采集,3-5年,480
数据采集,1-3年,420
机器学习,经验不限,3375
机器学习,在校/应届,489
机器学习,5-10年,3536
机器学习,3-5年,3518
机器学习,1年以下,201
机器学习,1-3年,4374
测试工程师,在校/应届,624
测试工程师,5-10年,780
测试工程师,3-5年,599
测试工程师,1-3年,420
测试开发,在校/应届,955
测试开发,5-10年,240
测试开发,3-5年,780
测试开发,1-3年,899
深度学习,经验不限,4220
深度学习,在校/应届,807
深度学习,5-10年,4129
深度学习,3-5年,3587
深度学习,1年以下,183
深度学习,1-3年,3939
游戏场景,经验不限,1651
游戏场景,5-10年,3328
游戏场景,3-5年,5056
游戏场景,1年以下,103
游戏场景,1-3年,4898
游戏测试,在校/应届,358
游戏测试,5-10年,540
游戏测试,3-5年,390
游戏测试,1-3年,420
游戏特效,经验不限,662
游戏特效,5-10年,1142
游戏特效,3-5年,2857
游戏特效,1-3年,2798
游戏策划,经验不限,1786
游戏策划,在校/应届,757
游戏策划,5-10年,5317
游戏策划,3-5年,5763
游戏策划,1年以下,132
游戏策划,1-3年,7051
爬虫,经验不限,895
爬虫,5-10年,2200
爬虫,3-5年,4602
爬虫,1年以下,105
爬虫,1-3年,2978
硬件测试,经验不限,2481
硬件测试,在校/应届,978
硬件测试,5-10年,5059
硬件测试,3-5年,6061
硬件测试,1年以下,245
硬件测试,1-3年,5498
移动产品设计,经验不限,437
移动产品设计,在校/应届,415
移动产品设计,5-10年,2931
移动产品设计,3-5年,3611
移动产品设计,1-3年,2756
算法工程师,经验不限,3497
算法工程师,在校/应届,832
算法工程师,5-10年,3476
算法工程师,3-5年,2808
算法工程师,1年以下,134
算法工程师,1-3年,4166
网络安全,经验不限,3160
网络安全,在校/应届,356
网络安全,5-10年,4719
网络安全,3-5年,3774
网络安全,1年以下,269
网络安全,1-3年,5968
网页产品设计,经验不限,246
网页产品设计,在校/应届,620
网页产品设计,5-10年,721
网页产品设计,3-5年,889
网页产品设计,1-3年,1296
自动化测试,在校/应届,356
自动化测试,5-10年,600
自动化测试,3-5年,748
自动化测试,1-3年,509
自然语言处理,经验不限,3201
自然语言处理,在校/应届,652
自然语言处理,5-10年,3978
自然语言处理,3-5年,4242
自然语言处理,1年以下,190
自然语言处理,1-3年,5480
语音视频图形开发,在校/应届,1780
语音视频图形开发,5-10年,1558
语音视频图形开发,3-5年,1709
语音视频图形开发,1-3年,1609
软件测试,经验不限,3996
软件测试,在校/应届,862
软件测试,5-10年,4890
软件测试,3-5年,4284
软件测试,1年以下,246
软件测试,1-3年,5560
运维工程师,经验不限,3849
运维工程师,在校/应届,568
运维工程师,5-10年,4766
运维工程师,3-5年,3531
运维工程师,1年以下,300
运维工程师,1-3年,4672
