keyword,salary,count
.NET,1,18
.NET,2,57
.NET,3,105
.NET,4,211
.NET,5,680
.NET,6,883
.NET,7,758
.NET,8,1807
.NET,9,471
.NET,10,2983
.NET,11,482
.NET,12,1518
.NET,13,473
.NET,14,333
.NET,15,3134
.NET,16,232
.NET,17,125
.NET,18,650
.NET,19,15
.NET,20,2028
.NET,21,16
.NET,22,54
.NET,23,53
.NET,24,20
.NET,25,880
.NET,26,33
.NET,27,6
.NET,28,54
.NET,29,11
.NET,30,569
.NET,31,1
.NET,35,142
.NET,40,180
.NET,45,36
.NET,50,84
.NET,55,3
.NET,60,19
.NET,65,1
.NET,70,5
.NET,75,5
.NET,80,6
.NET,90,1
.NET,95,1
.NET,100,2
Android,1,2
Android,2,8
Android,3,21
Android,4,27
Android,5,57
Android,6,67
Android,7,90
Android,8,209
Android,9,88
Android,10,488
Android,11,148
Android,12,294
Android,13,145
Android,14,76
Android,15,845
Android,16,81
Android,17,31
Android,18,166
Android,19,16
Android,20,639
Android,21,6
Android,22,32
Android,23,16
Android,24,9
Android,25,283
Android,26,5
Android,27,1
Android,28,15
Android,29,2
Android,30,227
Android,35,56
Android,40,54
Android,45,9
Android,50,20
Android,55,2
Android,60,3
Android,65,1
Android,70,2
Android,80,1
Android,100,1
C#,1,19
C#,2,59
C#,3,103
C#,4,207
C#,5,634
C#,6,857
C#,7,712
C#,8,1726
C#,9,448
C#,10,2884
C#,11,482
C#,12,1493
C#,13,472
C#,14,328
C#,15,3295
C#,16,246
C#,17,123
C#,18,717
C#,19,19
C#,20,2137
C#,21,18
C#,22,59
C#,23,55
C#,24,19
C#,25,985
C#,26,32
C#,27,6
C#,28,57
C#,29,14
C#,30,599
C#,31,1
C#,35,147
C#,40,189
C#,45,42
C#,50,88
C#,55,4
C#,60,24
C#,65,1
C#,70,7
C#,75,5
C#,80,6
C#,95,1
C#,100,3
C++,1,7
C++,2,29
C++,3,44
C++,4,90
C++,5,217
C++,6,316
C++,7,322
C++,8,746
C++,9,245
C++,10,1457
C++,11,418
C++,12,988
C++,13,383
C++,14,245
C++,15,3361
C++,16,274
C++,17,122
C++,18,745
C++,19,27
C++,20,2958
C++,21,33
C++,22,92
C++,23,63
C++,24,31
C++,25,1429
C++,26,24
C++,27,13
C++,28,79
C++,29,9
C++,30,1254
C++,35,280
C++,40,322
C++,45,60
C++,50,148
C++,55,11
C++,60,54
C++,65,5
C++,70,18
C++,80,6
C++,85,2
C++,90,2
C++,95,1
C++,100,1
Cocos,1,1
Cocos,2,7
Cocos,3,9
Cocos,4,25
Cocos,5,43
Cocos,6,67
Cocos,7,96
Cocos,8,248
Cocos,9,83
Cocos,10,420
Cocos,11,155
Cocos,12,321
Cocos,13,92
Cocos,14,54
Cocos,15,700
Cocos,16,42
Cocos,17,18
Cocos,18,111
Cocos,19,4
Cocos,20,403
Cocos,21,1
Cocos,22,13
Cocos,23,8
Cocos,24,5
Cocos,25,260
Cocos,26,2
Cocos,27,2
Cocos,28,9
Cocos,30,218
Cocos,35,48
Cocos,40,78
Cocos,45,11
Cocos,50,24
Cocos,55,1
Cocos,60,10
Cocos,70,4
Cocos,80,3
Cocos,85,1
Cocos,100,1
Docker,1,14
Docker,2,16
Docker,3,30
Docker,4,93
Docker,5,250
Docker,6,443
Docker,7,424
Docker,8,898
Docker,9,333
Docker,10,1892
Docker,11,393
Docker,12,996
Docker,13,511
Docker,14,332
Docker,15,3370
Docker,16,255
Docker,17,110
Docker,18,712
Docker,19,28
Docker,20,2416
Docker,21,44
Docker,22,78
Docker,23,31
Docker,24,30
Docker,25,1149
Docker,26,20
Docker,27,5
Docker,28,37
Docker,29,7
Docker,30,1059
Docker,32,1
Docker,35,207
Docker,37,1
Docker,40,297
Docker,45,43
Docker,50,92
Docker,55,19
Docker,58,1
Docker,60,37
Docker,65,3
Docker,70,15
Docker,80,10
Docker,85,7
Docker,90,2
Docker,95,1
Docker,100,10
ETL工程师,1,2
ETL工程师,2,4
ETL工程师,3,20
ETL工程师,4,26
ETL工程师,5,70
ETL工程师,6,79
ETL工程师,7,73
ETL工程师,8,130
ETL工程师,9,52
ETL工程师,10,206
ETL工程师,11,82
ETL工程师,12,137
ETL工程师,13,63
ETL工程师,14,31
ETL工程师,15,316
ETL工程师,16,21
ETL工程师,17,12
ETL工程师,18,75
ETL工程师,19,3
ETL工程师,20,211
ETL工程师,21,3
ETL工程师,22,6
ETL工程师,23,9
ETL工程师,24,5
ETL工程师,25,91
ETL工程师,26,2
ETL工程师,28,6
ETL工程师,30,63
ETL工程师,35,9
ETL工程师,40,9
ETL工程师,45,3
ETL工程师,50,4
ETL工程师,65,1
GIS工程师,1,5
GIS工程师,2,29
GIS工程师,3,131
GIS工程师,4,221
GIS工程师,5,441
GIS工程师,6,501
GIS工程师,7,1
GIS工程师,7,434
GIS工程师,8,726
GIS工程师,9,255
GIS工程师,10,905
GIS工程师,11,295
GIS工程师,12,505
GIS工程师,13,192
GIS工程师,14,73
GIS工程师,15,971
GIS工程师,16,78
GIS工程师,17,26
GIS工程师,18,177
GIS工程师,19,6
GIS工程师,20,483
GIS工程师,21,7
GIS工程师,22,19
GIS工程师,23,7
GIS工程师,24,5
GIS工程师,25,180
GIS工程师,26,3
GIS工程师,27,3
GIS工程师,28,11
GIS工程师,30,124
GIS工程师,35,25
GIS工程师,40,25
GIS工程师,45,3
GIS工程师,50,7
GIS工程师,60,4
GIS工程师,65,1
GIS工程师,80,1
GIS工程师,90,1
GIS工程师,100,1
Golang,1,7
Golang,2,24
Golang,3,41
Golang,4,55
Golang,5,161
Golang,6,252
Golang,7,224
Golang,8,562
Golang,9,183
Golang,10,1376
Golang,11,338
Golang,12,1049
Golang,13,463
Golang,14,320
Golang,15,4412
Golang,16,318
Golang,17,160
Golang,18,851
Golang,19,38
Golang,20,4194
Golang,21,25
Golang,22,117
Golang,23,46
Golang,24,61
Golang,25,2245
Golang,26,58
Golang,27,10
Golang,28,65
Golang,29,5
Golang,30,2335
Golang,35,583
Golang,40,801
Golang,45,186
Golang,50,331
Golang,55,21
Golang,60,83
Golang,65,26
Golang,70,81
Golang,75,2
Golang,80,20
Golang,90,9
Golang,95,1
Golang,100,9
Hadoop,1,7
Hadoop,2,14
Hadoop,3,25
Hadoop,4,79
Hadoop,5,156
Hadoop,6,316
Hadoop,7,245
Hadoop,8,701
Hadoop,9,227
Hadoop,10,1635
Hadoop,11,377
Hadoop,12,1038
Hadoop,13,495
Hadoop,14,351
Hadoop,15,3649
Hadoop,16,272
Hadoop,17,168
Hadoop,18,767
Hadoop,19,41
Hadoop,20,3515
Hadoop,21,43
Hadoop,22,89
Hadoop,23,61
Hadoop,24,40
Hadoop,25,1853
Hadoop,26,34
Hadoop,27,14
Hadoop,28,75
Hadoop,29,6
Hadoop,30,1873
Hadoop,33,3
Hadoop,35,410
Hadoop,40,525
Hadoop,42,1
Hadoop,45,88
Hadoop,50,217
Hadoop,55,27
Hadoop,60,91
Hadoop,65,10
Hadoop,70,66
Hadoop,75,9
Hadoop,80,25
Hadoop,83,2
Hadoop,85,2
Hadoop,90,7
Hadoop,95,1
Hadoop,100,14
Java,1,35
Java,2,52
Java,3,143
Java,4,204
Java,5,369
Java,6,566
Java,7,511
Java,8,1200
Java,9,383
Java,10,1891
Java,11,519
Java,12,1202
Java,13,564
Java,14,406
Java,15,3284
Java,16,305
Java,17,144
Java,18,672
Java,19,44
Java,20,2483
Java,21,27
Java,22,70
Java,23,44
Java,24,38
Java,25,954
Java,26,15
Java,27,14
Java,28,44
Java,29,6
Java,30,665
Java,33,1
Java,35,159
Java,38,1
Java,40,173
Java,45,35
Java,50,52
Java,55,6
Java,60,17
Java,70,1
Java,80,2
Java,85,1
Java,90,3
Java,100,2
JavaScript,2,8
JavaScript,3,10
JavaScript,4,6
JavaScript,5,9
JavaScript,6,6
JavaScript,7,20
JavaScript,8,40
JavaScript,9,11
JavaScript,10,66
JavaScript,11,28
JavaScript,12,37
JavaScript,13,21
JavaScript,14,19
JavaScript,15,115
JavaScript,16,17
JavaScript,17,4
JavaScript,18,22
JavaScript,19,4
JavaScript,20,78
JavaScript,22,3
JavaScript,23,1
JavaScript,24,2
JavaScript,25,34
JavaScript,29,1
JavaScript,30,12
