keyword,skill,count,rank
.NET,C#,4682,1
.NET,C++,3115,2
.NET,无,2846,3
.NET,C,2441,4
.NET,SQL,1233,5
.NET,MySQL,1140,6
.NET,Java,1069,7
.NET,.NET,1063,8
.NET,模块开发,922,9
.NET,架构设计,899,10
.NET,Python,866,11
.NET,后端开发,693,12
.NET,数据库,680,13
.NET,Javascript,678,14
.NET,前端开发,656,15
.NET,WPF,654,16
.NET,IT,629,17
.NET,系统开发,617,18
.NET,SQL Server,594,19
.NET,信息化领域,590,20
C#,C#,4654,1
C#,C++,3090,2
C#,无,2844,3
C#,C,2423,4
C#,SQL,1221,5
C#,MySQL,1144,6
C#,.NET,1058,7
C#,Java,1055,8
C#,模块开发,917,9
C#,架构设计,892,10
C#,Python,845,11
C#,后端开发,687,12
C#,数据库,680,13
C#,Javascript,674,14
C#,WPF,654,15
C#,前端开发,650,16
C#,IT,623,17
C#,系统开发,610,18
C#,SQL Server,589,19
C#,信息化领域,583,20
C++,C++,6194,1
C++,C,3169,2
C++,无,1437,3
C++,Qt,932,4
C++,Python,922,5
C++,模块开发,842,6
C++,Linux,780,7
C++,系统开发,754,8
C++,架构设计,730,9
C++,后端开发,538,10
C++,linux,459,11
C++,框架开发,434,12
C++,嵌入式软件开发,422,13
C++,Java,414,14
C++,IT,395,15
C++,信息化领域,391,16
C++,Qt Creator,382,17
C++,STL,364,18
C++,MySQL,341,19
C++,功能开发,339,20
Docker,Docker,3867,1
Docker,Java,3457,2
Docker,Python,2909,3
Docker,MySQL,2710,4
Docker,Kubernetes,2033,5
Docker,架构设计,1830,6
Docker,后端开发,1714,7
Docker,容器,1706,8
Docker,C++,1402,9
Docker,Linux,1294,10
Docker,框架开发,1195,11
Docker,linux,1128,12
Docker,框架设计,1113,13
Docker,Golang,1109,14
Docker,无,1107,15
Docker,docker,1097,16
Docker,SQL,1094,17
Docker,C,1074,18
Docker,Redis,1069,19
Docker,Shell,1024,20
Golang,Golang,5169,1
Golang,Python,2887,2
Golang,Java,2651,3
Golang,后端开发,2649,4
Golang,C++,2405,5
Golang,架构设计,2059,6
Golang,MySQL,1902,7
